No,Tanggal Putusan,Tahun,Nama Debitur,Area,PN,Sektor,Tbk,Value,Disclosed,K Separatis,K Preferen,K Konkuren,
653,24-Oct-24,2024,PT HASTASAKTI SEJATI,Konstruksi & jasa teknik sipil,Jakarta Pusat,Infrastruktur,Bukan Tbk,,Undisclosed,,,,
654,24-Oct-24,2024,PT Propernas Griya Utama,Pengembang perumahan & properti,Jakarta Pusat,Properti & Real Estate,Bukan Tbk,,Undisclosed,,,,
655,25-Oct-24,2024,PT J.CO DONUT & COFFEE,Waralaba restoran kopi & donat,Jakarta Pusat,Konsumen Non Primer,Bukan Tbk,,Undisclosed,,,,
656,25-Oct-24,2024,PT Wijaya Karya Industri dan Konstruksi,Industri & konstruksi baja (anak WIKA),Jakarta Pusat,Infrastruktur,Bukan Tbk,,Undisclosed,,,,
657,25-Oct-24,2024,PT KONTEN INDOMEDIA PRATAMA,Konten digital & media online,Jakarta Pusat,Konsumen Non Primer,Bukan Tbk,,Undisclosed,,,,
658,30-Oct-24,2024,PT ARYA LINGGA MANIK,Jasa & perdagangan umum,Jakarta Pusat,Konsumen Non Primer,Bukan Tbk,,Undisclosed,,,,
659,31-Oct-24,2024,PT JAYA ALAM PERSADA,Pengembang lahan & kavling,Jakarta Pusat,Properti & Real Estate,Bukan Tbk,,Undisclosed,,,,
660,31-Oct-24,2024,PT BUKIT LENTERA SEJAHTERA,Pengembangan kawasan hunian,Jakarta Pusat,Properti & Real Estate,Bukan Tbk,,Undisclosed,,,,
661,31-Oct-24,2024,PT Kutilang Paksi Mas,Perdagangan & distribusi produk konsumer,Jakarta Pusat,Barang Konsumen Primer,Bukan Tbk,,Undisclosed,,,,
662,31-Oct-24,2024,"PT SEJAHTERA BINTANG ABADI TEXTILE, TBK.",Perdagangan & distribusi tekstil,Jakarta Pusat,Barang Konsumen Primer,Tbk,,Undisclosed,,,,
663,11/1/2024,2024,PT WIJAYA KARYA (PERSERO) TBK,Konstruksi & infrastruktur induk WIKA (BUMN),Jakarta Pusat,Infrastruktur,Tbk,,Undisclosed,,,,
664,11/4/2024,2024,PT Pusaka Bumi Transportasi,Transportasi & logistik darat,Jakarta Pusat,Transportasi,Bukan Tbk,,Undisclosed,,,,
665,11/4/2024,2024,PT TEODORE PAN GARMINDO,Industri garmen & pakaian jadi,Jakarta Pusat,Perindustrian,Bukan Tbk,,Undisclosed,,,,
666,11/4/2024,2024,"PT Tri Banyan Tirta, Tbk.",Produksi AMDK & minuman (merek ALTO & TOTAL),Jakarta Pusat,Barang Konsumen Primer,Tbk,,Undisclosed,,,,
667,11/4/2024,2024,PT Patra Logistik,Logistik & transportasi migas (anak Pertamina),Jakarta Pusat,Transportasi,Bukan Tbk,,Undisclosed,,,,
668,11/4/2024,2024,PT MAJA AGUNG LATEXINDO,Industri karet & lateks,Medan Kota,Perindustrian,Bukan Tbk,,Undisclosed,,,,
669,11/5/2024,2024,PT Seneca Indonesia,Jasa konsultansi & pengembangan SDM,Jakarta Pusat,Konsumen Non Primer,Bukan Tbk,,Undisclosed,,,,
670,11/5/2024,2024,PT Mantari Baja Prima Utama,Industri & perdagangan baja konstruksi,Jakarta Pusat,Bahan Baku,Bukan Tbk,,Undisclosed,,,,
671,11/6/2024,2024,PT Kalimantan Ferro Industry,Industri feronikel & pengolahan logam,Jakarta Pusat,Bahan Baku,Bukan Tbk,,Undisclosed,,,,
672,11/6/2024,2024,PT BANDUNG DAYA SENTOSA,BUMD — jasa & pengelolaan infrastruktur daerah,Jakarta Pusat,Infrastruktur,Bukan Tbk,,Undisclosed,,,,
673,11/6/2024,2024,PT Widodo Makmur Perkasa Tbk.,Industri peternakan unggas & pakan ternak,Jakarta Pusat,Perindustrian,Tbk,,Undisclosed,,,,
674,11/6/2024,2024,PT CREDIT UP INDUSTRY INDONESIA,Pembiayaan & jasa keuangan industri,Jakarta Pusat,Keuangan,Bukan Tbk,,Undisclosed,,,,
675,11/6/2024,2024,PT Mantari Pipa Perkasa Industry,Industri pipa baja & konstruksi,Jakarta Pusat,Perindustrian,Bukan Tbk,,Undisclosed,,,,
676,11/8/2024,2024,PT danbi international,Impor & distribusi produk konsumen,Jakarta Pusat,Barang Konsumen Primer,Bukan Tbk,,Undisclosed,,,,
677,11/8/2024,2024,PT Wicaksana Overseas International Tbk,Distribusi produk FMCG & konsumer,Jakarta Pusat,Barang Konsumen Primer,Tbk,,Undisclosed,,,,
678,11-Nov-24,2024,PT Bumi Putera Perkasa,Pengembang properti & real estate,Surabaya,Properti & Real Estate,Bukan Tbk,,Undisclosed,,,,
